First,Freq,,,,
LEON,0.112,,,,
DEREK,0.112,,,,
WARREN,0.11,,,,
DARRELL,0.108,,,,
JEROME,0.108,,,,
FLOYD,0.107,,,,
LEO,0.106,,,,
ALVIN,0.105,,,,
TIM,0.104,,,,
WESLEY,0.104,,,,
GORDON,0.104,,,,
DEAN,0.104,,,,
GREG,0.104,,,,
JORGE,0.104,,,,
DUSTIN,0.103,,,,
PEDRO,0.103,,,,
DERRICK,0.103,,,,
DAN,0.101,,,,
LEWIS,0.099,,,,
ZACHARY,0.099,,,,
COREY,0.098,,,,
HERMAN,0.097,,,,
MAURICE,0.097,,,,
VERNON,0.097,,,,
ROBERTO,0.097,,,,
CLYDE,0.095,,,,
GLEN,0.094,,,,
HECTOR,0.094,,,,
SHANE,0.093,,,,
RICARDO,0.093,,,,
SAM,0.092,,,,
RICK,0.091,,,,
LESTER,0.091,,,,
BRENT,0.09,,,,
RAMON,0.09,,,,
CHARLIE,0.09,,,,
TYLER,0.089,,,,
GILBERT,0.089,,,,
GENE,0.087,,,,
MARC,0.087,,,,
REGINALD,0.084,,,,
RUBEN,0.082,,,,
BRETT,0.082,,,,
ANGEL,0.082,,,,
NATHANIEL,0.081,,,,
RAFAEL,0.081,,,,
LESLIE,0.081,,,,
EDGAR,0.08,,,,
MILTON,0.08,,,,
RAUL,0.079,,,,
BEN,0.078,,,,
CHESTER,0.078,,,,
CECIL,0.078,,,,
DUANE,0.077,,,,
FRANKLIN,0.077,,,,
ANDRE,0.076,,,,
ELMER,0.074,,,,
BRAD,0.073,,,,
GABRIEL,0.073,,,,
RON,0.072,,,,
MITCHELL,0.072,,,,
ROLAND,0.072,,,,
ARNOLD,0.072,,,,
HARVEY,0.072,,,,
JARED,0.071,,,,
ADRIAN,0.069,,,,
KARL,0.069,,,,
CORY,0.068,,,,
CLAUDE,0.068,,,,
ERIK,0.068,,,,
DARRYL,0.067,,,,
JAMIE,0.066,,,,
NEIL,0.066,,,,
JESSIE,0.065,,,,
CHRISTIAN,0.065,,,,
JAVIER,0.065,,,,
FERNANDO,0.065,,,,
CLINTON,0.065,,,,
TED,0.064,,,,
MATHEW,0.064,,,,
TYRONE,0.064,,,,
DARREN,0.064,,,,
LONNIE,0.064,,,,
LANCE,0.063,,,,
CODY,0.063,,,,
JULIO,0.063,,,,
KELLY,0.063,,,,
KURT,0.062,,,,
ALLAN,0.061,,,,
NELSON,0.061,,,,
GUY,0.06,,,,
CLAYTON,0.06,,,,
HUGH,0.06,,,,
MAX,0.059,,,,
DWAYNE,0.059,,,,
DWIGHT,0.058,,,,
ARMANDO,0.058,,,,
FELIX,0.058,,,,
JIMMIE,0.058,,,,
EVERETT,0.057,,,,
JORDAN,0.056,,,,
IAN,0.056,,,,
WALLACE,0.056,,,,
KEN,0.055,,,,
BOB,0.055,,,,
JAIME,0.055,,,,
CASEY,0.054,,,,
ALFREDO,0.054,,,,
ALBERTO,0.053,,,,
DAVE,0.053,,,,
IVAN,0.053,,,,
JOHNNIE,0.052,,,,
SIDNEY,0.052,,,,
BYRON,0.052,,,,
JULIAN,0.052,,,,
ISAAC,0.051,,,,
MORRIS,0.051,,,,
CLIFTON,0.05,,,,
WILLARD,0.05,,,,
DARYL,0.05,,,,
ROSS,0.05,,,,
VIRGIL,0.049,,,,
ANDY,0.049,,,,
MARSHALL,0.049,,,,
SALVADOR,0.049,,,,
PERRY,0.049,,,,
KIRK,0.049,,,,
SERGIO,0.049,,,,
MARION,0.048,,,,
TRACY,0.048,,,,
SETH,0.048,,,,
KENT,0.048,,,,
TERRANCE,0.048,,,,
RENE,0.048,,,,
EDUARDO,0.047,,,,
TERRENCE,0.047,,,,
ENRIQUE,0.046,,,,
FREDDIE,0.046,,,,
WADE,,,,,
